country,adm1_name,date,indicator,value,group,year,month,month_name,year_month,year_month_str
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,0.881094929,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kabul,2025-01-02,percent_area_flooded,2.445810393,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,1.639702617,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,1.396924561,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Logar,2025-01-02,percent_area_flooded,0.422826132,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,1.25972321,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,0.439504117,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,1.023696984,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,2.133556628,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,0.169448835,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,0.340018249,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,1.52980399,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,0.319161298,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,0.163731885,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,0.289817758,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,0.444655938,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,0.655907021,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,0.172818752,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,3.703356204,Unknown,2025,1,Jan,2025-01,2025-01
